timestep,wind_available_mw,curtailment_mw,power_optimized_mw,online_status,electricity_price,h2_produced_kg_h,h2_demand_kg_h,demand_slack_kg_h,demand_met,cost_eur,grid_import_mw,grid_export_mw,storage_level_kg,storage_charge_kg_h,storage_discharge_kg_h
3908,102.73878345311113,0.0,100.0,1,59.999999999999574,2108.6108610861083,2083.3333333333335,0.0,True,5835.672992813291,0.0,2.7387834531111253,202.14945909813915,25.277527752774894,0.0
3909,89.15173019735084,0.0,100.0,1,64.14213562372993,2108.6108610861083,2083.3333333333335,0.0,True,7110.044755337329,10.848269802649156,0.0,227.4067719050045,25.277527752775143,0.0
3910,58.74191600577682,0.0,100.0,1,67.3205080756887,2108.6108610861083,2083.3333333333335,0.0,True,9509.565984289415,41.25808399422318,0.0,252.66155898058898,25.277527752774972,0.0
3911,56.613740856224155,0.0,100.0,1,69.31851652578166,2108.6108610861083,2083.3333333333335,0.0,True,9939.322774027838,43.386259143775845,0.0,277.913820577466,25.277527752775086,0.0
3912,72.622394962285,0.0,100.0,1,70.0,2108.6108610861083,2083.3333333333335,0.0,True,8916.43235264005,27.377605037715,0.0,303.1635569481834,25.277527752775086,0.0
3913,81.58135082135205,0.0,100.0,1,69.31851652578214,2108.6108610861083,2083.3333333333335,0.0,True,8208.605090050907,18.418649178647954,0.0,328.4107683452636,25.27752775277503,0.0
3914,77.7173594799371,0.0,100.0,1,67.32050807568851,2108.6108610861083,2083.3333333333335,0.0,True,8232.129488647408,22.2826405200629,0.0,353.6554550212041,25.27752775277503,0.0
3915,75.66146551611892,0.0,100.0,1,64.14213562373125,2108.6108610861083,2083.3333333333335,0.0,True,7975.3391421210845,24.338534483881077,0.0,378.897617228477,25.277527752774972,0.0
3916,75.98403460188725,0.0,100.0,1,60.00000000000121,2108.6108610861083,2083.3333333333335,0.0,True,7440.9579238869155,24.015965398112755,0.0,404.13725521952927,25.277527752775143,0.0
3917,88.50893421543344,0.0,100.0,1,55.1763809020483,2108.6108610861083,2083.3333333333335,0.0,True,6151.673512904569,11.491065784566558,0.0,429.37436924678235,25.27752775277503,0.0
3918,86.60777320164394,0.0,100.0,1,50.000000000003325,2108.6108610861083,2083.3333333333335,0.0,True,5669.61133991818,13.392226798356063,0.0,454.60895956263266,25.277527752774972,0.0
3919,76.65086634046214,0.0,100.0,1,44.82361909794933,2108.6108610861083,2083.3333333333335,0.0,True,5528.954583217166,23.349133659537856,0.0,479.8410264194514,25.277527752774972,0.0
3920,64.93550500564226,0.0,100.0,1,40.00000000000061,2108.6108610861083,2083.3333333333335,0.0,True,5402.579799774392,35.064494994357744,0.0,505.0705700695847,25.2775277527752,0.0
3921,64.78753750177633,0.0,100.0,1,35.85786437627023,2108.6108610861083,2083.3333333333335,0.0,True,4848.430142242829,35.21246249822367,0.0,530.2975907653527,25.277527752774972,0.0
3922,69.81452702237506,0.0,100.0,1,32.67949192431027,2108.6108610861083,2083.3333333333335,0.0,True,4254.395112834807,30.18547297762494,0.0,555.5220887590511,25.277527752774972,0.0
3923,95.55066563767896,0.0,100.0,1,30.681483474219565,2108.6108610861083,2083.3333333333335,0.0,True,3204.660526130787,4.449334362321039,0.0,580.7440643029503,25.2775277527751,0.0
3924,113.40098846756497,0.0,100.0,1,30.0,2108.6108610861083,2083.3333333333335,0.0,True,2597.970345973051,0.0,13.400988467564972,605.963517649295,25.277527752774972,0.0
3925,125.685,0.0,100.0,1,30.68148347421838,2108.6108610861083,2083.3333333333335,0.0,True,2280.094444386539,0.0,25.685000000000002,631.180449050305,25.277527752774972,0.0
3926,125.685,0.0,100.0,1,32.679491924310256,2108.6108610861083,2083.3333333333335,0.0,True,2428.5764423551163,0.0,25.685000000000002,656.394858758175,25.277527752774972,0.0
3927,125.685,0.0,100.0,1,35.8578643762702,2108.6108610861083,2083.3333333333335,0.0,True,2664.77719112252,0.0,25.685000000000002,681.6067470250741,25.277527752774972,0.0
3928,125.685,0.0,100.0,1,40.000000000000576,2108.6108610861083,2083.3333333333335,0.0,True,2972.600000000043,0.0,25.685000000000002,706.8161141031466,25.277527752774972,0.0
3929,125.685,0.0,100.0,1,44.8236190979493,2108.6108610861083,2083.3333333333335,0.0,True,3331.067253264102,0.0,25.685000000000002,732.0229602445112,25.277527752774972,0.0
3930,120.82130282194834,0.0,100.0,1,49.999999999998735,2108.6108610861083,2083.3333333333335,0.0,True,3958.934858902483,0.0,20.821302821948336,757.227285701262,25.277527752775143,0.0
3931,108.4216948531931,0.0,100.0,1,55.176380902048265,2108.6108610861083,2083.3333333333335,0.0,True,5052.959447144225,0.0,8.421694853193102,782.4290907254667,25.277527752774887,0.0
3932,106.08603705036637,0.0,100.0,1,60.00000000000117,2108.6108610861083,2083.3333333333335,0.0,True,5634.837776978128,0.0,6.086037050366372,807.6283755691693,25.277527752775143,0.0
3933,102.43043287147886,0.0,100.0,1,64.14213562373122,2108.6108610861083,2083.3333333333335,0.0,True,6258.32040750635,0.0,2.430432871478857,832.8251404843876,25.2775277527752,0.0
3934,73.264486399522,0.0,100.0,1,67.32050807568848,2108.6108610861083,2083.3333333333335,0.0,True,8531.899166817506,26.735513600478,0.0,858.0193857231143,25.277527752775086,0.0
3935,69.12504438185941,0.0,100.0,1,69.31851652578096,2108.6108610861083,2083.3333333333335,0.0,True,9072.057773826928,30.87495561814059,0.0,883.211111537317,25.277527752775086,0.0
3936,70.29475142745041,0.0,100.0,1,70.0,2108.6108610861083,2083.3333333333335,0.0,True,9079.36740007847,29.705248572549593,0.0,908.4003181789383,25.277527752774972,0.0
3937,68.73850753317372,0.0,100.0,1,69.31851652578109,2108.6108610861083,2083.3333333333335,0.0,True,9098.851934760387,31.261492466826283,0.0,933.5870058998955,25.277527752775086,0.0
3938,62.701901570722384,0.0,100.0,1,67.32050807568872,2108.6108610861083,2083.3333333333335,0.0,True,9242.977744084888,37.298098429277616,0.0,958.7711749520807,25.2775277527752,0.0
3939,59.67275069950652,0.0,100.0,1,64.14213562373156,2108.6108610861083,2083.3333333333335,0.0,True,9000.889456337443,40.32724930049348,0.0,983.9528255873606,25.277527752775086,0.0
3940,56.977915376883466,0.0,100.0,1,60.00000000000158,2108.6108610861083,2083.3333333333335,0.0,True,8581.325077387217,43.022084623116534,0.0,1009.131958057577,25.277527752775086,0.0
